Month,Agency,Contact Type,Total
10/01/2022,B&T,Physical Contact,0
10/01/2022,B&T,Non Physical Contact,1
11/01/2022,NYCT Subway/SIR,Physical Contact,14
11/01/2022,NYCT Subway/SIR,Non Physical Contact,23
11/01/2022,NYCT Bus/MTA Bus,Physical Contact,43
11/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,112
11/01/2022,NYCT Other,Physical Contact,0
11/01/2022,NYCT Other,Non Physical Contact,5
11/01/2022,LIRR,Physical Contact,1
11/01/2022,LIRR,Non Physical Contact,0
11/01/2022,MNR,Physical Contact,2
11/01/2022,MNR,Non Physical Contact,4
11/01/2022,B&T,Physical Contact,0
11/01/2022,B&T,Non Physical Contact,0
12/01/2022,NYCT Subway/SIR,Physical Contact,25
12/01/2022,NYCT Subway/SIR,Non Physical Contact,37
12/01/2022,NYCT Bus/MTA Bus,Physical Contact,36
12/01/2022,NYCT Bus/MTA Bus,Non Physical Contact,99
12/01/2022,NYCT Other,Physical Contact,2
12/01/2022,NYCT Other,Non Physical Contact,1
12/01/2022,LIRR,Physical Contact,1
12/01/2022,LIRR,Non Physical Contact,5
12/01/2022,MNR,Physical Contact,4
12/01/2022,MNR,Non Physical Contact,1
12/01/2022,B&T,Physical Contact,0
12/01/2022,B&T,Non Physical Contact,0
12/01/2022,MTA PD Sworn,Physical Contact,1
12/01/2022,MTA PD Sworn,Non Physical Contact,0
01/01/2023,NYCT Subway/SIR,Physical Contact,31
01/01/2023,NYCT Subway/SIR,Non Physical Contact,31
01/01/2023,NYCT Bus/MTA Bus,Physical Contact,28
01/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,122
01/01/2023,NYCT Other,Physical Contact,6
01/01/2023,NYCT Other,Non Physical Contact,4
01/01/2023,LIRR,Physical Contact,4
01/01/2023,LIRR,Non Physical Contact,2
01/01/2023,MNR,Physical Contact,5
01/01/2023,MNR,Non Physical Contact,5
01/01/2023,B&T,Physical Contact,0
01/01/2023,B&T,Non Physical Contact,1
01/01/2023,MTA HQ,Physical Contact,1
01/01/2023,MTA HQ,Non Physical Contact,0
01/01/2023,MTA PD Sworn,Physical Contact,4
01/01/2023,MTA PD Sworn,Non Physical Contact,0
02/01/2023,NYCT Subway/SIR,Physical Contact,20
02/01/2023,NYCT Subway/SIR,Non Physical Contact,27
02/01/2023,NYCT Bus/MTA Bus,Physical Contact,29
02/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,110
02/01/2023,NYCT Other,Physical Contact,2
02/01/2023,NYCT Other,Non Physical Contact,7
02/01/2023,LIRR,Physical Contact,1
02/01/2023,LIRR,Non Physical Contact,2
02/01/2023,MNR,Physical Contact,5
02/01/2023,MNR,Non Physical Contact,7
02/01/2023,B&T,Physical Contact,0
02/01/2023,B&T,Non Physical Contact,0
02/01/2023,MTA HQ,Physical Contact,0
02/01/2023,MTA HQ,Non Physical Contact,0
02/01/2023,MTA PD Sworn,Physical Contact,0
02/01/2023,MTA PD Sworn,Non Physical Contact,0
03/01/2023,NYCT Subway/SIR,Physical Contact,28
03/01/2023,NYCT Subway/SIR,Non Physical Contact,43
03/01/2023,NYCT Bus/MTA Bus,Physical Contact,39
03/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,109
03/01/2023,NYCT Other,Physical Contact,5
03/01/2023,NYCT Other,Non Physical Contact,5
03/01/2023,LIRR,Physical Contact,6
03/01/2023,LIRR,Non Physical Contact,3
03/01/2023,MNR,Physical Contact,7
03/01/2023,MNR,Non Physical Contact,1
03/01/2023,B&T,Physical Contact,0
03/01/2023,B&T,Non Physical Contact,1
03/01/2023,MTA HQ,Physical Contact,0
03/01/2023,MTA HQ,Non Physical Contact,2
03/01/2023,MTA PD Sworn,Physical Contact,4
03/01/2023,MTA PD Sworn,Non Physical Contact,0
04/01/2023,NYCT Subway/SIR,Physical Contact,35
04/01/2023,NYCT Subway/SIR,Non Physical Contact,48
04/01/2023,NYCT Bus/MTA Bus,Physical Contact,29
04/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,88
04/01/2023,NYCT Other,Physical Contact,7
04/01/2023,NYCT Other,Non Physical Contact,2
04/01/2023,LIRR,Physical Contact,7
04/01/2023,LIRR,Non Physical Contact,2
04/01/2023,MNR,Physical Contact,5
04/01/2023,MNR,Non Physical Contact,6
04/01/2023,B&T,Physical Contact,0
04/01/2023,B&T,Non Physical Contact,0
04/01/2023,MTA HQ,Physical Contact,0
04/01/2023,MTA HQ,Non Physical Contact,1
04/01/2023,MTA PD Sworn,Physical Contact,1
04/01/2023,MTA PD Sworn,Non Physical Contact,1
05/01/2023,NYCT Subway/SIR,Physical Contact,29
05/01/2023,NYCT Subway/SIR,Non Physical Contact,48
05/01/2023,NYCT Bus/MTA Bus,Physical Contact,38
05/01/2023,NYCT Bus/MTA Bus,Non Physical Contact,116
05/01/2023,NYCT Other,Physical Contact,4
05/01/2023,NYCT Other,Non Physical Contact,6
05/01/2023,LIRR,Physical Contact,2
05/01/2023,LIRR,Non Physical Contact,2
05/01/2023,MNR,Physical Contact,5
05/01/2023,MNR,Non Physical Contact,6
05/01/2023,B&T,Physical Contact,0
05/01/2023,B&T,Non Physical Contact,0
05/01/2023,MTA HQ,Physical Contact,0
05/01/2023,MTA HQ,Non Physical Contact,3
05/01/2023,MTA PD Sworn,Physical Contact,2
